Unnamed: 0,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,Embedded_text_1,links,links_title,conteo_links,hashtags,conteo_hashtags,menciones,conteo_menciones,emojis,conteo_emojis,RT,conteo_RT,sentiment,sentiment_score
10,John Jairo Peralta Bernal,@johnjairope,2021-12-01T04:58:05.000Z,"John Jairo Peralta Bernal
@JohnJairoPe
·
30 nov.","En respuesta a 
@Carlosc30443031
 y 
@Davivienda
No somos pocos si no muchos, unamonos y denunciemos esto a la súper financiera, la unión hace la fuerza
1
1",,,1,1,[],https://twitter.com/JohnJairoPe/status/1465908036933984256,"En respuesta a  @Carlosc30443031 y  @Davivienda No somos pocos si no muchos, unamonos y denunciemos esto a la súper financiera, la unión hace la fuerza  ",[],,0,[],0,"['@carlosc30443031', '@davivienda']",2,[],0,[],0,5 stars,0.6534616947174072
11,Daniel Sanclemente,@dsanclemente219,2021-12-01T17:06:27.000Z,"Daniel Sanclemente
@Dsanclemente219
·
1 dic.","Llevo toda la mañana tratando de realizar un pago por PSE en 
@Davivienda
 ha sido imposible. Acaban con la poca paciencia que tengo.
2
1
1",,2.0,1,1,[],https://twitter.com/Dsanclemente219/status/1466091335576866829,Llevo toda la mañana tratando de realizar un pago por PSE en  @Davivienda ha sido imposible. Acaban con la poca paciencia que tengo.   ,[],,0,[],0,['@davivienda'],1,[],0,[],0,1 star,0.6506897807121277
12,Juliana,@julianaussa3,2021-12-01T17:33:05.000Z,"Juliana
@JulianaUssa3
·
1 dic.","Nunca usen los servicios de 
@DaviPlata
 @RappiPay
 y 
@Davivienda
 una atención al cliente desastrosa e ineficiente.
2
1",,2.0,,1,[],https://twitter.com/JulianaUssa3/status/1466098035587432460,Nunca usen los servicios de  @DaviPlata @RappiPay y  @Davivienda una atención al cliente desastrosa e ineficiente.  ,[],,0,[],0,"['@daviplata', '@rappipay', '@davivienda']",3,[],0,[],0,1 star,0.8831543326377869
13,DATAiFX,@dataifx,2021-12-01T16:29:06.000Z,"DATAiFX
@dataiFX
·
1 dic.","Problemas de suministro volvieron a lastrar el crecimiento de la producción en noviembre: PMI Davivienda https://dataifx.com/post/problemas-de-suministro-volvieron-lastrar-el-crecimiento-de-la-produccion-en-noviembre-pmi… 
@Davivienda
2
1",,,2,1,['https://pbs.twimg.com/media/FFiRrQpXIAIAg7C?format=jpg&name=small'],https://twitter.com/dataiFX/status/1466081934413549568,Problemas de suministro volvieron a lastrar el crecimiento de la producción en noviembre: PMI Davivienda Link_aqui  @Davivienda  ,['https://dataifx.com/post/problemas-de-suministro-volvieron-lastrar-el-crecimiento-de-la-produccion-en-noviembre-pmi…'],['dataifx'],1,[],0,['@davivienda'],1,[],0,[],0,1 star,0.4043492376804352
14,Andrea Cabana D.,@andreacabanad,2021-12-01T13:24:36.000Z,"Andrea Cabana D.
@andreaCabanaD
·
1 dic.","Me quiero ir de 
@Bancolombia
. Pero no a Davivienda. Alguna recomendación?
3",,3.0,,,[],https://twitter.com/andreaCabanaD/status/1466035504827273219,Me quiero ir de  @Bancolombia . Pero no a Davivienda. Alguna recomendación? ,[],,0,[],0,['@bancolombia'],1,[],0,[],0,1 star,0.379616379737854
15,DATAiFX,@dataifx,2021-12-01T13:14:39.000Z,"DATAiFX
@dataiFX
·
1 dic.","#LiveDataiFX Lo que hoy debe saber I Davivienda Corredores https://bit.ly/3rr3ksg Por 
@davicorredores
 #LoQueHoyDebeSaber",,,,,['https://pbs.twimg.com/media/FFhlPkvXsAI5jid?format=jpg&name=small'],https://twitter.com/dataiFX/status/1466032998961364994,#LiveDataiFX Lo que hoy debe saber I Davivienda Corredores Link_aqui Por  @davicorredores #LoQueHoyDebeSaber,['https://bit.ly/3rr3ksg'],['bit'],1,"['#LiveDataiFX', '#LoQueHoyDebeSaber']",2,['@davicorredores'],1,[],0,[],0,5 stars,0.2829994857311249
16,Secretaría de Movilidad de Medellín,@sttmed,2021-12-01T23:00:16.000Z,"Secretaría de Movilidad de Medellín
@sttmed
·
1 dic.","¡En #MovilidadEnLínea te damos soluciones eficientes!
 
Haz el pago de tus multas de tránsito en cualquier sucursal Cotrafa, Davivienda o Banco Popular.
 
Accede  http://bit.ly/2OmKZb6, digita el número de documento, genera el código de barras, descarga tu factura y paga.
3",👉,,,3,['https://pbs.twimg.com/media/FFjrSHfUcAI7d5G?format=jpg&name=small'],https://twitter.com/sttmed/status/1466180376754225153,"¡En #MovilidadEnLínea te damos soluciones eficientes!  Haz el pago de tus multas de tránsito en cualquier sucursal Cotrafa, Davivienda o Banco Popular.  Accede  Link_aqui digita el número de documento, genera el código de barras, descarga tu factura y paga. ","['http://bit.ly/2OmKZb6,']",['Movilidad en Línea'],1,['#MovilidadEnLínea'],1,[],0,[],0,[],0,5 stars,0.6560314297676086
17,Juan Correa,@judaco23,2021-12-01T15:29:42.000Z,"Juan Correa
@judaco23
·
1 dic.","@Davivienda
 ¿está caída la plataforma de pagos por PSE? llevo un buen rato intentando y no carga.
5
4",,5.0,,4,[],https://twitter.com/judaco23/status/1466066985125621766,@Davivienda ¿está caída la plataforma de pagos por PSE? llevo un buen rato intentando y no carga.  ,[],,0,[],0,['@davivienda'],1,[],0,[],0,1 star,0.8424005508422852
18,Liz,@lizhenao,2021-12-01T17:36:35.000Z,"Liz
@LizHenao
·
1 dic.","Entonces en 
@Davivienda
 te debitan el dinero, pero no se ve reflejado en lo que debes pagar. Ahora solo falta que se pierda el dinero y toque pagar de nuevo.
1",,1.0,,,[],https://twitter.com/LizHenao/status/1466098916596895753,"Entonces en  @Davivienda te debitan el dinero, pero no se ve reflejado en lo que debes pagar. Ahora solo falta que se pierda el dinero y toque pagar de nuevo. ",[],,0,[],0,['@davivienda'],1,[],0,[],0,1 star,0.6079161167144775
19,Simon Nariño,@simonnarino,2021-12-01T21:43:51.000Z,"Simon Nariño
@simonnarino
·
1 dic.","@Davivienda
 en todo el día no he podido acceder a los canales virtuales ni por la app ni PC
2
1",,2.0,,1,[],https://twitter.com/simonnarino/status/1466161145866334217,@Davivienda en todo el día no he podido acceder a los canales virtuales ni por la app ni PC  ,[],,0,[],0,['@davivienda'],1,[],0,[],0,1 star,0.7221113443374634
20,Aura Maria Puyana,@aumapumu,2021-12-01T03:01:52.000Z,"Aura Maria Puyana
@Aumapumu
·
30 nov.","En respuesta a 
@Davivienda
 y 
@DavidFlorezMP
Hoy no pude pagar la luz.
1",,,,1,[],https://twitter.com/Aumapumu/status/1465878788651298828,En respuesta a  @Davivienda y  @DavidFlorezMP Hoy no pude pagar la luz. ,[],,0,[],0,"['@davivienda', '@davidflorezmp']",2,[],0,[],0,1 star,0.32904914021492004
21,JUAN BERNAL,@jsbgm,2021-12-01T14:15:51.000Z,"JUAN BERNAL
@jsbgm
·
1 dic.","@Davivienda
 para cuando Apple Pay?
1
4",,1.0,,4,[],https://twitter.com/jsbgm/status/1466048400529494024,@Davivienda para cuando Apple Pay?  ,[],,0,[],0,['@davivienda'],1,[],0,[],0,1 star,0.5537222027778625
22,henryalexi,@henryaropero,2021-12-01T12:28:14.000Z,"henryalexi
@henryAropero
·
1 dic.","En respuesta a 
@CCSILVA86
 @claudiamzuleta
 y 
@QuintinQuinter
lastima que estén como en DAVIVIENDA
1",,,,1,[],https://twitter.com/henryAropero/status/1466021318437093385,En respuesta a  @CCSILVA86 @claudiamzuleta y  @QuintinQuinter lastima que estén como en DAVIVIENDA ,[],,0,[],0,"['@ccsilva86', '@claudiamzuleta', '@quintinquinter']",3,[],0,[],0,1 star,0.38846245408058167
23,ContraPunto,@contra_punto,2021-12-01T20:02:47.000Z,"ContraPunto
@contra_punto
·
1 dic.","#CPNacionales | A Juan Tennant Wright le podría costar US$1 millón el insinuar que Antonio Salaverría manipuló juicio para vencer a Davivienda 
Lea acá:
contrapunto.com.sv
A Juan Tennant Wright le podría costar US$1 millón el insinuar que Antonio Salaverría manipuló...
El demandante indicó que han presentando una obra de arte jurídico penal donde se demuestran muchísimas razones para que Juan Tennant Wright sea condenado.
1
1
1",,1.0,1,1,['https://pbs.twimg.com/card_img/1474156637925646338/vo4C3x4L?format=jpg&name=small'],https://twitter.com/contra_punto/status/1466135710566604809,#CPNacionales | A Juan Tennant Wright le podría costar US$1 millón el insinuar que Antonio Salaverría manipuló juicio para vencer a Davivienda  Lea acá: contrapunto.com.sv A Juan Tennant Wright le podría costar US$1 millón el insinuar que Antonio Salaverría manipuló... El demandante indicó que han presentando una obra de arte jurídico penal donde se demuestran muchísimas razones para que Juan Tennant Wright sea condenado.   ,[],,0,['#CPNacionales'],1,[],0,[],0,[],0,1 star,0.6641260981559753
24,MiXterKoji,@mixterkoji,2021-12-01T16:33:58.000Z,"MiXterKoji
@MiXterKoji
·
1 dic.","Creo que Colombia empezará su camino al desarrollo la quincena en que los servidores de 
@Davivienda
 @DaviPlata
 @Bancolombia
 y 
@Nequi
 no se caigan... O será buscar otras alternativas...
1",,1.0,,,[],https://twitter.com/MiXterKoji/status/1466083158420504587,Creo que Colombia empezará su camino al desarrollo la quincena en que los servidores de  @Davivienda @DaviPlata @Bancolombia y  @Nequi no se caigan... O será buscar otras alternativas... ,[],,0,[],0,"['@davivienda', '@daviplata', '@bancolombia', '@nequi']",4,[],0,[],0,1 star,0.3039960563182831
25,Daniela Abdelnur,@daniabdelnur,2021-12-01T17:33:49.000Z,"Daniela Abdelnur
@DaniAbdelnur
·
1 dic.","En respuesta a 
@SebastianRegino
 y 
@Davivienda
Pensé que era la única… no funciona nada
3
1",,3.0,,1,[],https://twitter.com/DaniAbdelnur/status/1466098221722206208,En respuesta a  @SebastianRegino y  @Davivienda Pensé que era la única… no funciona nada  ,[],,0,[],0,"['@sebastianregino', '@davivienda']",2,[],0,[],0,1 star,0.890609860420227
26,Stiven De Jesus Samp,@stivensamp,2021-12-01T21:39:40.000Z,"Stiven De Jesus Samp
@StivenSamp
·
1 dic.","Respondiendo a 
@cafenofilo
 @tagy_petus
 y 3 más
De que se trata esa app?
1",,,,1,[],https://twitter.com/StivenSamp/status/1466160090407395333,Respondiendo a  @cafenofilo @tagy_petus y 3 más De que se trata esa app? ,[],,0,[],0,"['@cafenofilo', '@tagy_petus']",2,[],0,[],0,1 star,0.5414943695068359
27,Valora Analitik,@valoraanalitik,2021-12-01T16:22:49.000Z,"Valora Analitik
@ValoraAnalitik
·
1 dic.","#Macroeconomía  
El Equipo de Estudios Económicos del #GrupoBolívar dio a conocer el Índice de Gestión de Compras (PMI) del sector industrial colombiano de 
@Davivienda
 para noviembre de 2021.
valoraanalitik.com
Aumenta PMI manufacturero en Colombia, pero preocupa la crisis de contenedores
El Equipo de Estudios Económicos del Grupo Bolívar dio a conocer el Índice de Gestión de Compras (PMI) del sector industrial colombiano.
1
1",,,1,1,['https://pbs.twimg.com/card_img/1474156892192714761/Z0pc0UfL?format=jpg&name=small'],https://twitter.com/ValoraAnalitik/status/1466080353555300358,"#Macroeconomía   El Equipo de Estudios Económicos del #GrupoBolívar dio a conocer el Índice de Gestión de Compras (PMI) del sector industrial colombiano de  @Davivienda para noviembre de 2021. valoraanalitik.com Aumenta PMI manufacturero en Colombia, pero preocupa la crisis de contenedores El Equipo de Estudios Económicos del Grupo Bolívar dio a conocer el Índice de Gestión de Compras (PMI) del sector industrial colombiano.  ",[],,0,"['#Macroeconomía', '#GrupoBolívar']",2,['@davivienda'],1,[],0,[],0,2 stars,0.32438021898269653
28,CarolusFerrum,@carolusferrum,2021-12-01T00:38:14.000Z,"CarolusFerrum
@CarolusFerrum
·
30 nov.","En respuesta a 
@oskar767
 y 
@johngongo
La cara de davivienda que ponen esos ""entrevistadores"" no tiene precio!. 
1
3",🤣 🤣 🤣,1.0,,3,[],https://twitter.com/CarolusFerrum/status/1465842639912292353,"En respuesta a  @oskar767 y  @johngongo La cara de davivienda que ponen esos ""entrevistadores"" no tiene precio!.   ",[],,0,[],0,"['@oskar767', '@johngongo']",2,[],0,[],0,1 star,0.6255056858062744
29,Juan Carlos Reyes,@reyes_juank,2021-12-01T20:06:28.000Z,"Juan Carlos Reyes
@reyes_juank
·
1 dic.","En respuesta a 
@Davivienda
Gracias, ya envié el mensaje directo, sin embargo, considero importante que el tema se solucione de manera general y muy pronto ya que veo que a otros usuarios y compañeros les está sucediendo igual.",,,,,[],https://twitter.com/reyes_juank/status/1466136635989532691,"En respuesta a  @Davivienda Gracias, ya envié el mensaje directo, sin embargo, considero importante que el tema se solucione de manera general y muy pronto ya que veo que a otros usuarios y compañeros les está sucediendo igual.",[],,0,[],0,['@davivienda'],1,[],0,[],0,3 stars,0.3974142074584961
30,Blueangel,@blueangel2021,2021-12-01T18:12:48.000Z,"Blueangel
@Blueangel2021
·
1 dic.","Y resulta que ahora en los pagos por PSE no me sale la opción de pagar con Davivienda, sólo Daviplata, pero ustedes tienen mi dinero y no voy a meter más dinero.

Por culpa de ustedes 
@Davivienda
 ahora me toca como en el pasado, ir a hacer filas a los bancos.
2
2",,2.0,,2,[],https://twitter.com/Blueangel2021/status/1466108033361223686,"Y resulta que ahora en los pagos por PSE no me sale la opción de pagar con Davivienda, sólo Daviplata, pero ustedes tienen mi dinero y no voy a meter más dinero.  Por culpa de ustedes  @Davivienda ahora me toca como en el pasado, ir a hacer filas a los bancos.  ",[],,0,[],0,['@davivienda'],1,[],0,[],0,1 star,0.534587025642395
31,Carmelo Ramiro Rafael.,@__barataria,2021-12-01T18:20:18.000Z,"Carmelo Ramiro Rafael.
@__barataria
·
1 dic.","Lo logró 
@Davivienda
  ahora su página web y su App son igual de inútiles que las de 
@Bancolombia
 Eso sí, la calculadora de intereses sin funciona 24/7
1
1",,1.0,,1,[],https://twitter.com/__barataria/status/1466109918642163722,"Lo logró  @Davivienda ahora su página web y su App son igual de inútiles que las de  @Bancolombia Eso sí, la calculadora de intereses sin funciona 24/7  ",[],,0,[],0,"['@davivienda', '@bancolombia']",2,[],0,[],0,1 star,0.43620577454566956
32,Alejo Gutierrez,@alejogb,2021-12-01T20:48:35.000Z,"Alejo Gutierrez
@AlejoGB
·
1 dic.","Srs 
@Davivienda
 
Porque si la mesa de dinero y transacciones int cierra a la 1pm, en el portal, la tasa de negociacion del dolar de remesas no se mantiene en lo que cierra el dolar cuando cierra la mesa de dinero y siguen jugando a bajarle y bajarle?
1",,1.0,,,[],https://twitter.com/AlejoGB/status/1466147237151531019,"Srs  @Davivienda  Porque si la mesa de dinero y transacciones int cierra a la 1pm, en el portal, la tasa de negociacion del dolar de remesas no se mantiene en lo que cierra el dolar cuando cierra la mesa de dinero y siguen jugando a bajarle y bajarle? ",[],,0,[],0,['@davivienda'],1,[],0,[],0,1 star,0.5867383480072021
33,marian,@2marianfuentes,2021-12-01T22:32:14.000Z,"marian
@2Marianfuentes
·
1 dic.","@Davivienda
  no responde por los robos de Daviplata cómo es posible que retiraran mi dinero en jamundi Antioquia estando en Bogota!!! Llamo y me dicen que busque a la policía para que encuentre al ladrón. Me cambiaron mi numero de Daviplata sin autorización 
@Davivienda
 respondan
2",,2.0,,,[],https://twitter.com/2Marianfuentes/status/1466173321981140992,@Davivienda no responde por los robos de Daviplata cómo es posible que retiraran mi dinero en jamundi Antioquia estando en Bogota!!! Llamo y me dicen que busque a la policía para que encuentre al ladrón. Me cambiaron mi numero de Daviplata sin autorización  @Davivienda respondan ,[],,0,[],0,"['@davivienda', '@davivienda']",2,[],0,[],0,1 star,0.8899052143096924
34,Oborinque,@oborinque,2021-12-01T22:42:56.000Z,"Oborinque
@Oborinque
·
1 dic.","En respuesta a 
@SaraTufanoZ
 y 
@petrogustavo
Preocupación tenemos con usted y varios que dicen estar en el ph y solo atacan y atacan no aportan nada será que están como davivienda el pacto y el futuro gobierno de petro es con todos el baile de los que sobran revísalo",,,,,[],https://twitter.com/Oborinque/status/1466176011939323906,En respuesta a  @SaraTufanoZ y  @petrogustavo Preocupación tenemos con usted y varios que dicen estar en el ph y solo atacan y atacan no aportan nada será que están como davivienda el pacto y el futuro gobierno de petro es con todos el baile de los que sobran revísalo,[],,0,[],0,"['@saratufanoz', '@petrogustavo']",2,[],0,[],0,1 star,0.7192844152450562
35,David,@david72995006,2021-12-01T02:07:37.000Z,"David
@David72995006
·
30 nov.","En respuesta a 
@KarenTralara
 y 
@metrodemedellin
Ahí tienes tu respuesta 
@karentralara
 el metro nno regala nada solo es un modelo marketing para que las personas usen la cívica pay por medio de davivienda para generar ingresos a davivienda
1",,,,1,[],https://twitter.com/David72995006/status/1465865134446989315,En respuesta a  @KarenTralara y  @metrodemedellin Ahí tienes tu respuesta  @karentralara el metro nno regala nada solo es un modelo marketing para que las personas usen la cívica pay por medio de davivienda para generar ingresos a davivienda ,[],,0,[],0,"['@karentralara', '@metrodemedellin', '@karentralara']",3,[],0,[],0,1 star,0.4767659902572632
36,elsalvador.com,@elsalvadorcom,2021-12-01T16:50:55.000Z,"elsalvador.com
@elsalvadorcom
·
1 dic.","#Destacados | El colectivo de arte, Volarte, y la entidad financiera Davivienda unieron esfuerzos para realizar la séptima edición de esta exhibición de obras en el redondel Beethoven, al norte de la capital.
elsalvador.com
Davivienda y Volarte inauguran muestra ""Inspiraciones del alma"" | Noticias de El Salvador
El colectivo de arte y la entidad financiera unieron esfuerzos para realizar la 7° edición de esta exhibición en el redondel Beethoven, al norte de la capital.
1
2",,,1,2,['https://pbs.twimg.com/card_img/1473707288087216129/-GoS_bCF?format=jpg&name=small'],https://twitter.com/elsalvadorcom/status/1466087425977896963,"#Destacados | El colectivo de arte, Volarte, y la entidad financiera Davivienda unieron esfuerzos para realizar la séptima edición de esta exhibición de obras en el redondel Beethoven, al norte de la capital. elsalvador.com Davivienda y Volarte inauguran muestra ""Inspiraciones del alma"" | Noticias de El Salvador El colectivo de arte y la entidad financiera unieron esfuerzos para realizar la 7° edición de esta exhibición en el redondel Beethoven, al norte de la capital.  ",[],,0,['#Destacados'],1,[],0,[],0,[],0,5 stars,0.34109506011009216
37,HAROLD EDUARDO VARGAS VARGAS,@haroldeduardov2,2021-12-01T15:55:16.000Z,"HAROLD EDUARDO VARGAS VARGAS
@HAROLDEDUARDOV2
·
1 dic.","En respuesta a 
@Davivienda
Es la peor app en este momento, no dejan ingresar y la excusa como todo siempre es ""estamos haciendo una actualización"" y si uno se ve perjudicado, después de ser el mejor banco está ahora al nivel de Bcsc lo peor en servicio 
@Davivienda
 @sicsuper
 @SFCsupervisor",,,,,[],https://twitter.com/HAROLDEDUARDOV2/status/1466073422493106177,"En respuesta a  @Davivienda Es la peor app en este momento, no dejan ingresar y la excusa como todo siempre es ""estamos haciendo una actualización"" y si uno se ve perjudicado, después de ser el mejor banco está ahora al nivel de Bcsc lo peor en servicio  @Davivienda @sicsuper @SFCsupervisor",[],,0,[],0,"['@davivienda', '@davivienda', '@sicsuper', '@sfcsupervisor']",4,[],0,[],0,1 star,0.8210054636001587
